_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
50,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.211,2014-03-31T00:00:00,0.4,-0.19
51,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.248,2014-03-31T00:00:00,0.2,0.05
52,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.102,2014-03-31T00:00:00,0.5,-0.4
53,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.64,2014-06-30T00:00:00,5,2.64
54,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.245,2014-06-30T00:00:00,0.4,-0.16
55,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.288,2014-06-30T00:00:00,0.2,0.09
56,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.079,2014-06-30T00:00:00,0.5,-0.42
57,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.69,2014-09-30T00:00:00,5,2.69
58,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.238,2014-09-30T00:00:00,0.4,-0.16
59,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.276,2014-09-30T00:00:00,0.2,0.08
60,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.102,2014-09-30T00:00:00,0.5,-0.4
61,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,6.9,2014-12-31T00:00:00,5,1.9
62,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.19,2014-12-31T00:00:00,0.4,-0.21
63,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.246,2014-12-31T00:00:00,0.2,0.05
64,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.063,2014-12-31T00:00:00,0.5,-0.44
65,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.5,2015-03-31T00:00:00,5,2.5
66,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.273,2015-03-31T00:00:00,0.4,-0.13
67,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.277,2015-03-31T00:00:00,0.2,0.08
68,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.084,2015-03-31T00:00:00,0.5,-0.42
69,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.4,2015-06-30T00:00:00,5,2.4
70,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.254,2015-06-30T00:00:00,0.4,-0.15
71,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.282,2015-06-30T00:00:00,0.2,0.08
72,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.073,2015-06-30T00:00:00,0.5,-0.43
