_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
685,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,5.88,2017-12-31T00:00:00,5,0.88
686,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.174,2017-12-31T00:00:00,0.4,-0.23
687,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.202,2017-12-31T00:00:00,0.2,0.002
688,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.089,2017-12-31T00:00:00,0.5,-0.41
689,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,5.09,2018-03-31T00:00:00,5,0.09
690,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.189,2018-03-31T00:00:00,0.4,-0.21
691,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.196,2018-03-31T00:00:00,0.2,-0.004
692,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.088,2018-03-31T00:00:00,0.5,-0.41
693,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,6.61,2018-06-30T00:00:00,5,1.61
694,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.25,2018-06-30T00:00:00,0.4,-0.15
695,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.267,2018-06-30T00:00:00,0.2,0.07
696,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.14,2018-06-30T00:00:00,0.5,-0.36
697,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,7.07,2018-09-30T00:00:00,5,2.07
698,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.248,2018-09-30T00:00:00,0.4,-0.15
699,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.26,2018-09-30T00:00:00,0.2,0.06
700,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.127,2018-09-30T00:00:00,0.5,-0.37
701,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,7.82,2018-12-31T00:00:00,5,2.82
702,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.26,2018-12-31T00:00:00,0.4,-0.14
703,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.279,2018-12-31T00:00:00,0.2,0.08
704,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.141,2018-12-31T00:00:00,0.5,-0.36
705,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,4.77,2019-03-31T00:00:00,5,-0.23
706,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.16,2019-03-31T00:00:00,0.4,-0.24
707,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.168,2019-03-31T00:00:00,0.2,-0.03
708,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.08,2019-03-31T00:00:00,0.5,-0.42
709,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,6.23,2019-06-30T00:00:00,5,1.23
710,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.189,2019-06-30T00:00:00,0.4,-0.21
711,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.231,2019-06-30T00:00:00,0.2,0.03
712,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.132,2019-06-30T00:00:00,0.5,-0.37
713,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,7.21,2019-09-30T00:00:00,5,2.21
714,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.237,2019-09-30T00:00:00,0.4,-0.16
715,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.244,2019-09-30T00:00:00,0.2,0.04
716,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.128,2019-09-30T00:00:00,0.5,-0.37
717,вул. Личаківська – вул. Винниченка В. - площа Митна,вуглецю оксид,6.76,2019-12-31T00:00:00,5,1.76
718,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту оксид,0.221,2019-12-31T00:00:00,0.4,-0.18
719,вул. Личаківська – вул. Винниченка В. - площа Митна,азоту діоксид,0.248,2019-12-31T00:00:00,0.2,0.05
720,вул. Личаківська – вул. Винниченка В. - площа Митна,ангідрид сірчистий,0.093,2019-12-31T00:00:00,0.5,-0.41
721,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,8.92,2011-03-31T00:00:00,5,3.92
722,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.236,2011-03-31T00:00:00,0.4,-0.16
723,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.155,2011-03-31T00:00:00,0.2,-0.05
724,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.047,2011-03-31T00:00:00,0.5,-0.45
725,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,9.46,2011-06-30T00:00:00,5,4.46
726,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.216,2011-06-30T00:00:00,0.4,-0.18
727,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.164,2011-06-30T00:00:00,0.2,-0.04
728,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.045,2011-06-30T00:00:00,0.5,-0.46
729,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,9.1,2011-09-30T00:00:00,5,4.1
730,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.186,2011-09-30T00:00:00,0.4,-0.21
731,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.142,2011-09-30T00:00:00,0.2,-0.06
732,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.049,2011-09-30T00:00:00,0.5,-0.45
733,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,8.8,2011-12-31T00:00:00,5,3.8
734,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.122,2011-12-31T00:00:00,0.4,-0.28
735,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.119,2011-12-31T00:00:00,0.2,-0.08
736,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.041,2011-12-31T00:00:00,0.5,-0.46
737,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,9.55,2012-03-31T00:00:00,5,4.55
738,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.193,2012-03-31T00:00:00,0.4,-0.21
739,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.201,2012-03-31T00:00:00,0.2,0.001
740,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.046,2012-03-31T00:00:00,0.5,-0.45
741,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,9.97,2012-06-30T00:00:00,5,4.97
742,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.307,2012-06-30T00:00:00,0.4,-0.09
743,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.254,2012-06-30T00:00:00,0.2,0.05
744,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.056,2012-06-30T00:00:00,0.5,-0.44
745,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,10.06,2012-09-30T00:00:00,5,5.06
746,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.332,2012-09-30T00:00:00,0.4,-0.07
747,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.266,2012-09-30T00:00:00,0.2,0.07
748,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.081,2012-09-30T00:00:00,0.5,-0.42
749,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,9.66,2012-12-31T00:00:00,5,4.66
750,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.257,2012-12-31T00:00:00,0.4,-0.14
751,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.26,2012-12-31T00:00:00,0.2,0.06
752,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.102,2012-12-31T00:00:00,0.5,-0.4
753,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,8.69,2013-03-31T00:00:00,5,3.69
754,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.221,2013-03-31T00:00:00,0.4,-0.18
755,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.23,2013-03-31T00:00:00,0.2,0.03
756,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.092,2013-03-31T00:00:00,0.5,-0.41
757,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,8.49,2013-06-30T00:00:00,5,3.49
758,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.341,2013-06-30T00:00:00,0.4,-0.06
759,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.303,2013-06-30T00:00:00,0.2,0.1
760,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.086,2013-06-30T00:00:00,0.5,-0.41
761,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,10.11,2013-09-30T00:00:00,5,5.11
762,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.23,2013-09-30T00:00:00,0.4,-0.17
763,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.259,2013-09-30T00:00:00,0.2,0.06
764,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.108,2013-09-30T00:00:00,0.5,-0.39
765,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,7.69,2013-12-31T00:00:00,5,2.69
766,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.229,2013-12-31T00:00:00,0.4,-0.17
767,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.226,2013-12-31T00:00:00,0.2,0.03
768,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.082,2013-12-31T00:00:00,0.5,-0.42
769,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,7.79,2014-03-31T00:00:00,5,2.79
770,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.212,2014-03-31T00:00:00,0.4,-0.19
771,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.223,2014-03-31T00:00:00,0.2,0.02
772,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.079,2014-03-31T00:00:00,0.5,-0.42
773,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,10.42,2014-06-30T00:00:00,5,5.42
774,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.442,2014-06-30T00:00:00,0.4,0.04
775,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.435,2014-06-30T00:00:00,0.2,0.24
776,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.092,2014-06-30T00:00:00,0.5,-0.41
777,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.66,2014-09-30T00:00:00,5,1.66
778,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.192,2014-09-30T00:00:00,0.4,-0.21
779,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.211,2014-09-30T00:00:00,0.2,0.01
780,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.053,2014-09-30T00:00:00,0.5,-0.45
781,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.89,2014-12-31T00:00:00,5,1.89
782,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.212,2014-12-31T00:00:00,0.4,-0.19
783,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.223,2014-12-31T00:00:00,0.2,0.02
784,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.064,2014-12-31T00:00:00,0.5,-0.44
785,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,7.45,2015-03-31T00:00:00,5,2.45
786,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.225,2015-03-31T00:00:00,0.4,-0.18
787,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.238,2015-03-31T00:00:00,0.2,0.04
788,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.072,2015-03-31T00:00:00,0.5,-0.43
789,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,9.71,2015-06-30T00:00:00,5,4.71
790,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.292,2015-06-30T00:00:00,0.4,-0.11
791,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.333,2015-06-30T00:00:00,0.2,0.13
792,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.119,2015-06-30T00:00:00,0.5,-0.38
793,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,7.92,2015-09-30T00:00:00,5,2.92
794,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.269,2015-09-30T00:00:00,0.4,-0.13
795,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.294,2015-09-30T00:00:00,0.2,0.09
796,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.109,2015-09-30T00:00:00,0.5,-0.39
797,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,8.68,2015-12-31T00:00:00,5,3.68
798,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.249,2015-12-31T00:00:00,0.4,-0.15
799,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.277,2015-12-31T00:00:00,0.2,0.08
800,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.105,2015-12-31T00:00:00,0.5,-0.4
801,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,4.91,2016-03-31T00:00:00,5,-0.09
802,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.175,2016-03-31T00:00:00,0.4,-0.23
803,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.188,2016-03-31T00:00:00,0.2,-0.01
804,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.081,2016-03-31T00:00:00,0.5,-0.42
805,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.5,2016-06-30T00:00:00,5,1.5
806,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.261,2016-06-30T00:00:00,0.4,-0.14
807,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.282,2016-06-30T00:00:00,0.2,0.08
808,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.085,2016-06-30T00:00:00,0.5,-0.42
809,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,7.55,2016-09-30T00:00:00,5,2.55
810,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.261,2016-09-30T00:00:00,0.4,-0.14
811,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.279,2016-09-30T00:00:00,0.2,0.08
812,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.127,2016-09-30T00:00:00,0.5,-0.37
813,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.24,2016-12-31T00:00:00,5,1.24
814,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.209,2016-12-31T00:00:00,0.4,-0.19
815,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.222,2016-12-31T00:00:00,0.2,0.02
816,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.104,2016-12-31T00:00:00,0.5,-0.4
817,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,4.54,2017-03-31T00:00:00,5,-0.46
818,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.15,2017-03-31T00:00:00,0.4,-0.25
819,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.169,2017-03-31T00:00:00,0.2,-0.03
820,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.07,2017-03-31T00:00:00,0.5,-0.43
821,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.9,2017-06-30T00:00:00,5,1.9
822,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.243,2017-06-30T00:00:00,0.4,-0.16
823,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.24,2017-06-30T00:00:00,0.2,0.04
824,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.135,2017-06-30T00:00:00,0.5,-0.37
825,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,8.03,2017-09-30T00:00:00,5,3.03
826,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.27,2017-09-30T00:00:00,0.4,-0.13
827,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.297,2017-09-30T00:00:00,0.2,0.1
828,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.142,2017-09-30T00:00:00,0.5,-0.36
829,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.09,2017-12-31T00:00:00,5,1.09
830,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.209,2017-12-31T00:00:00,0.4,-0.19
831,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.224,2017-12-31T00:00:00,0.2,0.02
832,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.109,2017-12-31T00:00:00,0.5,-0.39
833,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,5.21,2018-03-31T00:00:00,5,0.21
834,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.192,2018-03-31T00:00:00,0.4,-0.21
835,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.202,2018-03-31T00:00:00,0.2,0.002
836,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.098,2018-03-31T00:00:00,0.5,-0.4
837,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,5.66,2018-06-30T00:00:00,5,0.66
838,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.183,2018-06-30T00:00:00,0.4,-0.22
839,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.202,2018-06-30T00:00:00,0.2,0.002
840,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.116,2018-06-30T00:00:00,0.5,-0.38
841,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.01,2018-09-30T00:00:00,5,1.01
842,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.211,2018-09-30T00:00:00,0.4,-0.19
843,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.224,2018-09-30T00:00:00,0.2,0.02
844,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.121,2018-09-30T00:00:00,0.5,-0.38
845,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,6.89,2018-12-31T00:00:00,5,1.89
846,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.237,2018-12-31T00:00:00,0.4,-0.16
847,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.25,2018-12-31T00:00:00,0.2,0.05
848,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.117,2018-12-31T00:00:00,0.5,-0.38
849,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,5.11,2019-03-31T00:00:00,5,0.11
850,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.169,2019-03-31T00:00:00,0.4,-0.23
851,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.181,2019-03-31T00:00:00,0.2,-0.02
852,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.089,2019-03-31T00:00:00,0.5,-0.41
853,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,7.57,2019-06-30T00:00:00,5,2.57
854,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.249,2019-06-30T00:00:00,0.4,-0.15
855,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.266,2019-06-30T00:00:00,0.2,0.07
856,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.153,2019-06-30T00:00:00,0.5,-0.35
857,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,7.92,2019-09-30T00:00:00,5,2.92
858,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.261,2019-09-30T00:00:00,0.4,-0.14
859,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.268,2019-09-30T00:00:00,0.2,0.07
860,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.141,2019-09-30T00:00:00,0.5,-0.36
861,вул. Франка І. – площа Соборна – вул. Винниченка В.,вуглецю оксид,5.43,2019-12-31T00:00:00,5,0.43
862,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту оксид,0.193,2019-12-31T00:00:00,0.4,-0.21
863,вул. Франка І. – площа Соборна – вул. Винниченка В.,азоту діоксид,0.21,2019-12-31T00:00:00,0.2,0.01
864,вул. Франка І. – площа Соборна – вул. Винниченка В.,ангідрид сірчистий,0.079,2019-12-31T00:00:00,0.5,-0.42
865,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,11.71,2011-03-31T00:00:00,5,6.71
866,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.275,2011-03-31T00:00:00,0.4,-0.13
867,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.214,2011-03-31T00:00:00,0.2,0.01
868,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.051,2011-03-31T00:00:00,0.5,-0.45
869,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,12.41,2011-06-30T00:00:00,5,7.41
870,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.326,2011-06-30T00:00:00,0.4,-0.07
871,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.219,2011-06-30T00:00:00,0.2,0.02
872,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.058,2011-06-30T00:00:00,0.5,-0.44
873,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,10.83,2011-09-30T00:00:00,5,5.83
874,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.257,2011-09-30T00:00:00,0.4,-0.14
875,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.202,2011-09-30T00:00:00,0.2,0.002
876,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.047,2011-09-30T00:00:00,0.5,-0.45
877,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,10.61,2011-12-31T00:00:00,5,5.61
878,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.267,2011-12-31T00:00:00,0.4,-0.13
879,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.212,2011-12-31T00:00:00,0.2,0.01
880,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.045,2011-12-31T00:00:00,0.5,-0.46
881,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,13.89,2012-03-31T00:00:00,5,8.89
882,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.256,2012-03-31T00:00:00,0.4,-0.14
883,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.277,2012-03-31T00:00:00,0.2,0.08
884,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.059,2012-03-31T00:00:00,0.5,-0.44
885,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,11.48,2012-06-30T00:00:00,5,6.48
886,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.51,2012-06-30T00:00:00,0.4,0.11
887,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.387,2012-06-30T00:00:00,0.2,0.19
888,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.074,2012-06-30T00:00:00,0.5,-0.43
889,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,10.81,2012-09-30T00:00:00,5,5.81
890,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.362,2012-09-30T00:00:00,0.4,-0.04
891,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.358,2012-09-30T00:00:00,0.2,0.16
892,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.092,2012-09-30T00:00:00,0.5,-0.41
893,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,10.05,2012-12-31T00:00:00,5,5.05
894,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.365,2012-12-31T00:00:00,0.4,-0.04
895,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.321,2012-12-31T00:00:00,0.2,0.12
896,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.088,2012-12-31T00:00:00,0.5,-0.41
897,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,10.17,2013-03-31T00:00:00,5,5.17
898,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.341,2013-03-31T00:00:00,0.4,-0.06
899,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.361,2013-03-31T00:00:00,0.2,0.16
900,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.073,2013-03-31T00:00:00,0.5,-0.43
901,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,9.89,2013-06-30T00:00:00,5,4.89
902,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту оксид,0.365,2013-06-30T00:00:00,0.4,-0.04
903,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,азоту діоксид,0.35,2013-06-30T00:00:00,0.2,0.15
904,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,ангідрид сірчистий,0.106,2013-06-30T00:00:00,0.5,-0.39
905,вул. Франка І. – вул. Левицького К. – вул. Князя Романа,вуглецю оксид,9.44,2013-09-30T00:00:00,5,4.44
